Model,MAE,RMSE,R2,TweedieDeviance_p1_5
Mean baseline,767.4641167932677,30402.776264237444,-2.230934182279043e-06,146.93430753562967
Poisson x Gamma product,641.1338833596999,30402.154632768605,3.866181160749882e-05,142.84250412099138
Tweedie pure premium,584.0222981426606,30403.17464589162,-2.8438090369231617e-05,163.56557765696144
HistGradientBoosting sample,674.6920975389121,30373.579105945715,0.001917541356958652,6882.953160007731
