Feature,Importance,Std
VehAge,9.177156539227052,2.9380391463522306
Density,9.167973553947808,0.8927580744737846
VehPower,6.304613199927144,3.6025376624199725
Region,6.071553326087428,4.670601639871649
DrivAge,4.815643139965277,5.464922420386557
VehBrand,3.0643669120129062,1.2221562427637371
Area,0.0,0.0
VehGas,-0.7570705311265783,0.963058770844859
BonusMalus,-9.94356438808452,1.7675128295194134
