Feature,Importance,Importance_pct
BonusMalus,0.859218427190512,85.92
DrivAge,0.10727919176455465,10.73
Exposure,0.010724028167446376,1.07
Density,0.007412723433367524,0.74
VehAge,0.005121130811861524,0.51
VehPower,0.0025857706880734804,0.26
Area,0.00244660981600982,0.24
Region,0.0022273832635459293,0.22
VehBrand,0.0019585569134718452,0.2
VehGas,0.001026177951156803,0.1
